uniprot_acc	content_fraction	content_count	length	start	end
Q586H1	0.044	8	182	22	29
P83794	0.212	38	179	9	46
O14893	0.179	50	280	22	31
Q8IHS5	0.11	9	82	22	30
Q9S9E3	0.118	9	76	22	30
P42191	0.062	11	177	22	32
A0QV03	0.438	28	64	14	32
P50601	0.03	13	432	22	34
P26948	0.135	23	170	22	44
O97373	0.491	26	53	22	34
A0A158RFT3	0.432	35	81	22	34
A0A5A4PV77	0.142	32	226	10	41
P43487	0.075	15	201	22	36
Q8N4H5	0.471	24	51	21	44
Q06164	0.011	16	1454	22	37
Q1L777	0.421	16	38	22	37
Q9Q0P0	0.258	25	97	22	46
L3BXG0	0.32	24	75	22	38
Q13351	0.124	45	362	22	40
Q9Q0L9	0.258	25	97	22	46
P9WHA1	0.3	24	80	22	45
Q9X4B7	0.108	41	379	22	47
Q8PJB3	0.201	28	139	22	49
P0ACX9	0.667	42	63	22	63
Q9Y584	0.149	29	194	22	50
Q3YPZ4	0.33	32	97	22	53
Q99NC0	0.104	32	307	22	53
Q03818	0.74	111	150	22	57
Q6FKQ5	0.074	34	461	22	55
Q4CXR4	0.632	36	57	22	57
K7ZUA3	0.062	40	641	22	61
M4GGR6	0.103	72	699	22	63
R4GRT6	0.103	72	699	22	63
R4GRT8	0.104	73	699	22	64
R4GRT9	0.103	72	699	22	63
R4GRT7	0.106	74	699	22	63
P08008	0.26	57	219	22	78
P07470	0.725	58	80	22	79
P82176	0.382	65	170	22	86
Q5F5Y8	0.048	6	125	23	28
P10147	0.304	28	92	23	44
P0A902	0.215	38	177	23	39
P17515	0.214	21	98	23	43
P22362	0.115	11	96	23	33
P60057	0.565	26	46	15	40
P23230	0.35	56	160	23	27
B7MLK7	0.08	6	75	23	28
Q05C46	0.055	23	422	23	30
P26949	0.011	9	833	23	31
D7P7X6	0.095	19	199	23	31
P00508	0.028	12	423	23	34
G2QAT9	0.06	20	333	23	42
A0A158RFT5	0.407	33	81	23	33
P02958	0.653	47	72	13	36
P08189	0.148	26	176	23	48
P08943	0.214	22	103	19	40
O24165	0.316	12	38	23	34
O35423	0.046	19	414	23	41
P04127	0.135	25	185	23	47
O70632	0.258	25	97	22	46
O66188	0.111	27	243	23	44
Q72H91	0.082	22	269	23	44
Q9YP62	0.155	15	97	23	37
Q8A6L2	0.132	16	121	23	38
P26729	0.228	21	92	23	43
P18683	0.384	43	112	23	42
G0SDN0	0.052	21	407	23	43
P0CL52	0.032	22	685	23	44
Q96RJ3	0.152	28	184	19	46
D7ZI16	0.613	46	75	23	47
Q85JD5	0.065	40	618	23	56
Q8ZL65	0.194	44	227	23	61
A0A1S6KGE5	0.198	35	177	23	57
G8HXD9	0.607	34	56	23	56
P01097	0.424	36	85	23	58
P12163	0.627	37	59	23	59
M4GGR7	0.107	75	699	22	63
Q9VKM6	0.128	45	351	23	67
Q8JKE8	0.073	161	2195	23	69
Q60AR3	0.681	64	94	23	86
P38540	0.648	59	91	23	81
Q9I788	0.14	64	457	23	79
Q91F55	0.38	205	539	23	92
Q8BG84	0.027	7	263	24	30
A5HUP6	0.035	5	142	24	28
Q08AG7	0.72	59	82	18	76
A0A0D5ZBI4	0.012	9	740	24	32
P04228	0.02	5	256	24	28
P13500	0.202	20	99	24	43
A7XXR3	0.029	13	448	24	36
Q98157	0.117	11	94	24	34
Q7KUD5	0.454	49	108	24	47
P05093	0.035	18	508	24	36
Q6FI18	0.013	5	381	24	28
Q93SX0	0.212	38	179	9	46
Q45VS8	0.039	5	127	24	28
A0A218KIQ1	0.025	14	566	24	31
P40413	0.023	13	562	24	36
Q8V9P2	0.224	30	134	7	36
I0AXC3	0.078	44	566	24	32
O43252	0.018	11	624	24	34
Q9Y512	0.021	10	469	24	33
P13501	0.319	29	91	24	52
A0A158RFT4	0.412	33	80	24	34
Q6YBS3	0.02	13	637	24	36
A0R562	0.065	12	186	24	35
P08190	0.168	28	167	24	51
Q1R2J5	0.078	13	167	24	36
P51587	0.026	90	3418	24	37
P30882	0.165	15	91	24	38
P0CK93	0.153	26	170	24	49
P9WIE5	0.028	21	740	24	44
P00641	0.228	34	149	20	46
P78794	0.287	76	265	24	43
F1RWJ0	0.109	28	257	24	51
A0A384E126	0.735	50	68	9	58
Q70Q12	0.415	39	94	24	62
D3YPL0	0.16	39	244	24	62
P0A1N8	0.349	81	232	22	73
C4B607	0.329	46	140	24	69
O91734	0.078	170	2184	24	69
P69776	0.718	56	78	22	77
Q642G4	0.035	13	376	25	37
A6X980	0.042	5	120	25	29
Q92583	0.202	19	94	25	43
B2LVD7	0.069	38	552	25	29
Q9ULM6	0.011	6	557	25	30
P83476	0.633	19	30	3	8
P26136	0.077	44	568	25	30
O57946	0.019	8	428	25	32
P78423	0.045	18	397	25	42
O15263	0.344	22	64	24	40
P36193	0.25	16	64	25	40
P03442	0.081	46	566	25	31
Q72EF3	0.019	10	524	25	34
P43213	0.034	9	263	25	33
Q8TAE8	0.036	8	222	25	32
F6LNL5	0.25	8	32	25	32
P23443	0.051	27	525	25	32
P08581	0.012	16	1390	25	32
Q5FBD2	0.028	9	325	25	33
P01148	0.109	10	92	24	33
P40967	0.061	40	661	25	33
Q7SID2	0.103	21	204	15	35
Q8NS29	0.204	21	103	23	43
D5MAJ8	0.607	37	61	25	61
Q8GTM0	0.257	27	105	25	51
P56782	0.344	21	61	25	45
Q6FQI3	0.099	24	243	25	48
P80220	0.273	21	77	18	38
Q9Y2H1	0.058	27	464	25	37
P29846	0.005	16	3010	25	40
Q6C1R9	0.568	79	139	25	42
Q8N6N7	0.739	65	88	18	44
P50402	0.114	29	254	15	43
A4D7H3	0.237	23	97	24	46
Q9Y5Q6	0.311	42	135	25	45
P39264	0.179	32	179	25	56
P01315	0.472	51	108	25	54
Q9QP24	0.192	56	292	25	48
P30410	0.227	25	110	25	49
P51460	0.397	52	131	25	51
P04090	0.281	52	185	25	52
P46527	0.409	81	198	25	95
Q08379	0.05	50	1002	25	52
P25644	0.038	30	796	25	54
P01318	0.286	30	105	25	54
P9WF12	0.422	43	102	12	54
P01317	0.486	51	105	25	54
Q9EPK5	0.084	33	395	25	57
P63027	0.31	36	116	25	60
O43583	0.237	47	198	25	60
P04936	0.072	155	2150	8	8
Q9I749	0.337	58	172	4	61
O35684	0.173	71	410	25	64
Q15906	0.121	44	364	24	67
P10175	0.614	43	70	25	67
Q8V639	0.066	145	2183	25	69
Q66282	0.067	147	2185	25	69
P14406	0.675	56	83	25	80
Q95ZK7	0.061	59	969	25	83
P63045	0.69	80	116	25	104
A3FJ51	0.733	66	90	25	90
Q8N7H5	0.267	142	531	25	113
P84040	0.67	69	103	19	51
M5R382	0.012	42	3380	13	33
Q3ZC23	0.388	38	98	20	36
P32367	0.04	26	649	26	30
A0A0X8GJ44	0.006	20	3423	26	31
A8IW39	0.036	16	441	26	41
F0V1E2	0.048	20	414	26	34
P13073	0.355	60	169	26	32
L0RVU0	0.027	10	375	26	35
P02671	0.189	164	866	26	37
Q16655	0.212	25	118	26	35
O07819	0.174	67	384	26	36
Q91970	0.203	12	59	26	37
Q6U9F0	0.331	51	154	25	65
O90754	0.044	33	746	26	39
E8RUP8	0.367	18	49	26	43
Q99616	0.194	19	98	26	44
P35938	0.216	21	97	26	46
B8YB64	0.833	40	48	6	11
Q97ZX7	0.896	43	48	6	48
B0LX40	0.305	29	95	21	49
W8GTF7	0.209	58	278	25	55
S5PN91	0.173	49	283	26	49
B2RHG4	0.078	26	333	26	51
Q16637	0.092	27	294	26	52
Q8WXF3	0.359	51	142	26	52
P0ADZ7	0.273	30	110	26	55
Q3ZBC0	0.724	42	58	17	58
P10176	0.623	43	69	26	68
A0A2S1FMR1	0.312	44	141	26	69
P48382	0.114	70	616	26	71
Q2LKZ0	0.071	153	2166	26	69
F8VA14	0.063	138	2185	26	69
P13900	0.064	139	2185	26	69
P03313	0.072	157	2185	26	69
Q8B8X4	0.161	137	851	26	69
P03303	0.087	190	2179	26	69
Q5UEA3	0.061	134	2185	26	69
P08291	0.062	136	2182	26	69
P22055	0.067	147	2206	26	69
V9VEF3	0.068	150	2214	26	69
P12799	0.106	47	444	26	72
Q29307	0.463	50	108	26	75
P35154	0.275	69	251	13	76
A8MTZ0	0.576	53	92	26	78
P09190	0.679	55	81	26	80
P78556	0.177	17	96	27	43
L0HR89	0.021	12	566	27	30
O25743	0.012	7	567	27	33
A0A097PF39	0.007	4	566	27	30
P08921	0.061	21	344	26	46
A0A0Y0S9M3	0.009	5	566	27	31
A0A5P1MU07	0.009	5	566	27	31
A8W8K8	0.009	5	566	27	31
Q8ZRK4	0.129	22	170	27	48
Q92833	0.039	49	1246	27	31
H9XC94	0.071	40	566	27	31
Q91MA7	0.108	61	566	24	34
O15155	0.051	6	118	27	32
Q9WTZ1	0.053	6	113	27	32
P01062	0.292	21	72	12	32
P05745	0.35	35	100	17	51
P20248	0.097	42	432	27	33
Q9IF21	0.127	9	71	27	35
P09616	0.05	16	319	27	42
Q969W0	0.662	47	71	9	55
P31358	0.164	10	61	27	36
Q93I65	0.032	11	348	27	37
P69908	0.026	12	466	27	38
A0A0H3JRX7	0.044	14	319	27	40
P69910	0.112	52	466	3	54
Q9YWN5	0.095	27	283	27	53
F0CAT0	0.348	16	46	27	42
Q540U1	0.093	22	237	27	48
Q13510	0.051	20	395	27	46
A0R1B5	0.217	34	157	14	47
P56219	0.351	20	57	26	45
P38293	0.5	74	148	27	48
A6XGL2	0.49	48	98	26	52
O00198	0.264	24	91	27	50
Q96AE4	0.039	25	644	27	51
A0A060BKX4	0.181	53	293	27	51
A0A0H3CFC9	0.541	33	61	23	55
Q9G096	0.344	56	163	3	58
P46206	0.143	73	510	27	58
Q96DV4	0.187	71	380	27	62
P53507	0.617	37	60	24	60
A0A291S400	0.321	42	131	27	68
Q8QWB2	0.638	44	69	25	68
F1S8A5	0.346	71	205	27	69
Q3SZ86	0.444	91	205	27	80
Q65480	0.178	148	833	27	69
Q82081	0.062	136	2178	27	69
O14467	0.291	44	151	27	70
Q1HMR5	0.537	44	82	27	70
P35444	0.075	57	755	27	72
Q8TD16	0.07	58	824	19	76
P31109	0.513	60	117	27	86
P62807	0.357	45	126	28	54
Q5ZYC9	0.4	48	120	28	52
P20372	0.1	24	241	26	49
P03435	0.069	39	567	28	32
Q9LA15	0.056	6	108	28	33
Q68SX0	0.029	7	245	28	34
Q08JP6	0.047	8	170	27	34
Q8W191	0.054	8	149	28	35
Q5D734	0.015	10	668	28	37
Q02750	0.043	17	393	28	44
Q6XXM1	0.351	46	131	28	53
A0A2R3ZQX0	0.123	33	269	28	53
Q1L764	0.046	34	740	28	40
M1E1E4	0.746	44	59	1	44
Q16627	0.194	18	93	28	45
P04039	0.654	51	78	28	78
O43677	0.513	39	76	28	43
P00437	0.138	33	239	18	50
P0A6S5	0.573	59	103	28	55
P24474	0.049	28	568	28	55
Q9Y615	0.051	22	435	28	49
P09683	0.223	27	121	28	54
P26678	0.673	35	52	18	52
Q03124	0.088	51	581	28	78
P92507	0.212	33	156	28	60
A0A097F8Q2	0.069	151	2188	28	61
Q5JH72	0.547	35	64	28	62
C4IN73	0.088	38	430	27	64
A0A097BW12	0.081	177	2188	28	63
P02679	0.318	144	453	28	79
Q6JKR9	0.061	133	2193	28	68
A0A1B3Z4Y8	0.158	136	861	28	68
Q75Q92	0.28	42	150	28	69
Q6W9E5	0.066	144	2194	28	69
Q9R0G6	0.058	44	755	28	71
Q63570	0.12	50	418	28	77
Q9CQY9	0.645	49	76	28	76
D0MDD8	0.244	51	209	28	78
Q63569	0.155	68	439	25	78
P01096	0.743	81	109	29	109
P70696	0.094	12	127	29	40
P59938	0.404	23	57	22	44
P04010	0.022	8	368	29	36
Q76RJ0	0.168	16	95	29	44
B0TAT4	0.225	9	40	29	37
Q10585	0.081	10	124	29	38
P69383	0.53	44	83	29	38
P53973	0.028	20	706	29	48
O94616	0.034	12	348	29	40
P13236	0.37	34	92	24	50
P05504	0.058	13	226	29	41
P05423	0.231	92	398	29	41
Q84895	0.088	77	878	29	41
P46443	0.263	15	57	29	43
D3KZ50	0.121	17	140	29	45
O31818	0.61	47	77	1	23
P17782	0.224	53	237	29	48
P35222	0.045	35	781	29	49
I3W9E1	0.077	169	2193	12	69
A0A1D8PMC5	0.05	26	523	26	51
P0A8H8	0.723	47	65	5	10
A0A564XRN6	0.164	46	281	29	74
P81303	0.433	26	60	29	54
Q8N300	0.576	38	66	24	61
P53260	0.486	89	183	29	55
Q9V452	0.229	32	140	29	60
O43516	0.064	32	503	29	60
Q57817	0.757	56	74	12	67
A0A0P0DH17	0.328	39	119	29	67
O95167	0.643	54	84	13	18
Q9LCX4	0.607	54	89	29	82
Q02535	0.462	55	119	29	83
G0RZB3	0.543	75	138	29	95
Q9SD78	0.771	101	131	29	114
Q26710	0.061	20	329	30	49
O93568	0.251	109	435	30	122
P01137	0.138	54	390	30	73
B3DVC3	0.041	8	193	30	37
P0C1H5	0.119	15	126	28	37
O34208	0.023	16	687	30	33
Q8GUD7	0.017	5	295	30	34
A6LIT1	0.075	20	265	30	49
Q13253	0.026	6	232	30	35
P29474	0.028	34	1203	30	36
P01017	0.017	8	476	30	37
Q9NV96	0.055	20	361	27	46
Q16552	0.258	40	155	30	69
Q1LK00	0.077	23	299	30	52
P00505	0.03	13	430	30	42
P05202	0.026	11	430	30	40
P17535	0.205	71	347	30	39
P07173	0.056	20	356	21	40
G1TM82	0.297	33	111	24	56
Q2G0X2	0.206	21	102	30	50
Q82V11	0.473	43	91	29	47
Q9Y4E5	0.02	21	1061	30	50
P0A6H1	0.127	54	424	11	52
A0A0B5A8Q2	0.2	23	115	30	52
Q9HXS2	0.453	24	53	30	53
Q7T659	0.188	54	288	28	54
J9Z449	0.205	30	146	30	59
Q7Z7H8	0.142	37	261	30	66
P48539	0.516	32	62	30	61
P0AFX7	0.449	97	216	30	66
Q8QWD4	0.565	39	69	30	68
Q91QV1	0.274	40	146	30	69
Q80SQ3	0.58	40	69	30	69
A0A1V0FT21	0.066	144	2193	30	69
G0YPI2	0.038	83	2193	28	69
P13183	0.613	49	80	30	78
P24311	0.613	49	80	30	78
Q4AE23	0.653	66	101	30	95
Q6CI10	0.654	119	182	11	16
Q9D2U9	0.071	9	126	31	39
D0VWV4	0.195	33	169	31	63
F2Z626	0.082	38	466	30	42
Q9KJ82	0.408	31	76	8	22
A6GV51	0.03	7	235	31	37
P14116	0.254	17	67	29	45
B2CXZ0	0.02	8	400	31	38
P58340	0.03	8	268	31	38
Q29RU1	0.072	10	139	31	40
A8JCL6	0.063	8	126	31	38
Q14527	0.009	9	1009	31	39
Q9H9J2	0.039	13	332	31	43
Q9BZE1	0.08	34	423	31	51
O78752	0.053	12	226	30	41
Q53177	0.39	60	154	26	44
P09322	0.136	14	103	31	44
A0A0M3KL52	0.108	15	139	31	45
A0A140SG33	0.353	18	51	31	48
P19429	0.805	169	210	31	103
P67973	0.412	21	51	31	51
P35179	0.688	55	80	26	80
Q47184	0.328	63	192	31	57
Q93ZM9	0.223	44	197	31	57
P08063	0.444	28	63	31	58
I3LN51	0.759	44	58	15	58
E5D8F2	0.057	123	2153	26	59
J7QAC9	0.774	48	62	15	62
Q8V635	0.067	147	2189	31	68
P63211	0.527	39	74	31	69
Q68T42	0.09	196	2188	31	69
O25010	0.589	43	73	31	73
P08067	0.251	54	215	31	84
P00166	0.425	68	160	31	79
P13352	0.769	100	130	31	130
Q66K64	0.08	48	600	32	53
P00428	0.093	12	129	32	43
A8GG79	0.022	8	366	30	37
P47017	0.052	9	172	32	40
Q6K209	0.1	8	80	32	39
Q920D3	0.112	20	178	32	37
Q68J44	0.032	7	220	32	38
P62851	0.08	10	125	32	41
P11258	0.527	58	110	32	40
A0A0F6T703	0.036	78	2194	30	43
Q9YXH5	0.044	10	225	32	41
P47992	0.237	27	114	22	48
P0C8E8	0.267	23	86	32	44
P10606	0.101	13	129	32	44
O46162	0.576	53	92	28	54
Q8NBP7	0.027	19	692	32	50
P80060	0.489	45	92	32	53
P01286	0.222	24	108	32	55
Q8WQ22	0.179	26	145	32	57
Q6EDW1	0.231	27	117	32	58
P53803	0.793	46	58	13	58
Q27IM2	0.296	34	115	32	65
A8ID55	0.042	69	1640	1	69
Q4U2R6	0.305	39	128	32	70
P57744	0.644	56	87	30	85
Q96CV9	0.253	146	577	29	101
Q84850	0.125	72	574	27	98
P01920	0.019	5	261	33	37
Q9XSW6	0.062	6	97	29	34
P13487	0.271	16	59	31	46
P32238	0.035	15	428	33	47
D0FZX2	0.034	8	235	33	40
Q8DKP6	0.308	12	39	28	39
B8YB65	0.471	49	104	33	81
A0A1L8FQ56	0.056	7	126	33	39
P25116	0.066	28	425	33	60
O95551	0.113	41	362	25	60
Q8SPS7	0.023	8	347	33	40
P07399	0.018	9	498	33	41
Q9QDK7	0.018	9	498	33	41
Q03643	0.036	10	280	33	42
B6JV96	0.097	10	103	33	42
Q9UID3	0.015	12	782	33	44
P50498	0.081	22	272	33	46
Q86V20	0.04	33	835	5	17
N9UZ59	0.098	40	409	33	72
O75420	0.069	71	1035	33	103
F2Z6D7	0.228	64	281	33	58
P68530	0.154	35	227	31	65
A7NJ91	0.176	34	193	33	66
P06210	0.068	150	2207	30	69
P03302	0.067	147	2206	26	69
P03300	0.111	246	2209	2	10
P49728	0.189	39	206	33	71
Q9H6S1	0.202	79	392	33	75
P83792	0.487	78	160	20	80
P9WKI7	0.023	12	529	27	38
A0A0M3KKX9	0.098	22	224	18	39
Q6C2Q1	0.074	16	216	34	49
Q9GV76	0.071	17	240	31	41
Q9UUT7	0.043	9	210	34	42
Q9WKU1	0.057	8	140	34	41
P51858	0.037	9	240	34	42
P86242	0.063	9	143	34	42
P69726	0.094	9	96	34	42
Q9YX36	0.081	10	124	34	43
P12074	0.202	22	109	34	46
F4MWM8	0.11	18	164	34	51
Q6R837	0.365	19	52	34	52
Q96PD4	0.27	44	163	34	77
P92506	0.133	25	188	34	58
P15336	0.198	100	505	33	57
P17890	0.195	49	251	34	75
Q88GF9	0.277	33	119	29	61
P33448	0.607	37	61	25	61
P48011	0.651	41	63	19	26
Q91WD5	0.089	41	463	34	74
O75306	0.099	46	463	34	79
Q7Z7F7	0.352	45	128	34	78
P47194	0.52	65	125	34	98
P54422	0.082	48	587	35	40
U3PYM0	0.011	3	261	35	37
Q8TCC3	0.087	14	161	35	43
P10855	0.076	7	92	35	41
Q8ILN8	0.39	41	105	35	42
Q4QHB5	0.154	20	130	35	49
Q51479	0.286	34	119	35	68
O00217	0.229	48	210	35	82
P04819	0.015	11	755	35	45
A4ZVL3	0.022	16	720	35	45
Q9Y6G3	0.458	65	142	35	45
P45452	0.076	36	471	25	50
Q9NX55	0.225	29	129	35	63
B7UM99	0.076	42	550	35	53
P68314	0.444	28	63	35	62
Q8UIR1	0.468	29	62	34	62
O55164	0.017	34	2054	6	9
Q1K6I4	0.096	33	344	35	67
Q9USY3	0.052	37	708	35	71
P00403	0.167	38	227	35	72
Q8K3J1	0.25	53	212	35	82
P49763	0.032	7	221	35	41
Q6DL83	0.125	5	40	36	40
A1L260	0.149	49	329	36	41
O60832	0.012	6	514	36	41
A0A0M3KL13	0.062	6	97	36	41
F1SAK7	0.427	44	103	36	41
W5Q5U7	0.456	47	103	36	42
Q74EM7	0.021	11	528	36	46
P46776	0.061	9	148	36	44
Q9TQB0	0.122	9	74	36	44
Q9L5D6	0.014	10	720	36	45
Q2EID8	0.025	10	400	36	45
P0CJ48	0.037	10	267	36	45
Q86TS9	0.366	45	123	36	51
P9WH79	0.079	12	152	36	47
P06948	0.411	23	56	34	56
Q15543	0.371	46	124	30	75
Q02363	0.358	48	134	35	82
P21579	0.043	18	422	36	53
Q9LEW8	0.061	20	326	36	55
Q28852	0.544	56	103	36	53
Q38503	0.393	22	56	35	56
Q976J8	0.375	21	56	36	56
Q8ISL8	0.282	22	78	36	57
P39186	0.314	53	169	36	59
A0A4X1TRS6	0.448	26	58	33	58
P15273	0.06	28	468	36	63
Q15075	0.031	44	1411	36	69
Q45588	0.183	38	208	35	72
B5FVF3	0.846	66	78	13	78
P10217	0.7	91	130	26	82
P45955	0.259	68	263	36	103
Q6Y7W6	0.054	70	1299	36	105
F1RT79	0.047	7	148	37	43
Q9RRG8	0.222	18	81	32	49
P82249	0.377	49	130	37	48
F4Y428	0.005	12	2199	32	43
Q9ST12	0.181	15	83	30	44
V5JYA2	0.306	15	49	8	14
P9WQB3	0.039	25	644	23	47
Q8N5Z0	0.056	24	425	24	47
Q86527	0.042	10	239	37	46
P53090	0.038	19	500	32	50
Q06338	0.042	12	283	37	48
D0C5Q3	0.366	26	71	36	61
O14733	0.029	12	419	37	48
Q06208	0.033	13	395	36	48
Q96RL1	0.082	59	719	37	49
P18962	0.024	20	818	31	50
Q79994	0.237	14	59	37	50
P35236	0.044	16	360	37	52
P39805	0.072	20	277	36	55
C0SMB0	0.097	20	207	37	56
Q9YLJ3	0.183	57	312	35	57
P30233	0.181	28	155	37	64
Q9M280	0.491	57	116	37	71
P52870	0.549	45	82	37	81
O67904	0.702	66	94	27	92
P25648	0.05	71	1427	37	84
A0A1S3UMA0	0.58	58	100	37	94
P35637	0.264	139	526	37	97
Q472T4	0.027	6	222	38	43
P26419	0.044	6	137	38	43
B2R5B3	0.046	6	130	38	43
O94907	0.026	7	266	38	44
P58566	0.273	12	44	33	44
P84233	0.838	114	136	2	86
A0A310TTQ1	0.235	32	136	38	63
Q62011	0.099	17	172	38	45
P62799	0.816	84	103	10	67
P30305	0.016	9	580	38	46
Q9SIQ8	0.127	9	71	38	46
G0S133	0.337	32	95	36	47
P49736	0.081	73	904	38	46
Q9KPS2	0.027	11	415	38	48
Q63IP8	0.024	12	493	38	49
O24646	0.31	52	168	38	49
Q9M9M6	0.127	14	110	38	51
Q82T22	0.424	36	85	10	22
P9WHN5	0.453	29	64	23	51
A8IL32	0.138	27	196	38	64
F1LC27	0.167	32	192	38	69
Q9X2V7	0.362	21	58	38	58
O15516	0.038	32	846	38	58
Q14197	0.15	31	206	38	59
O43597	0.073	23	315	38	60
Q13405	0.145	24	166	38	61
D4GXU1	0.4	24	60	37	60
O43914	0.292	33	113	35	67
Q93SX1	0.412	66	160	1	7
P30943	0.644	67	104	38	104
Q9P6Q6	0.023	7	303	39	45
P02649	0.057	18	317	39	56
Q8UY79	0.012	11	933	39	49
A3DBH1	0.01	5	486	39	43
Q96RI0	0.039	15	385	39	53
P18956	0.079	46	580	29	45
P12532	0.036	15	417	39	53
P43686	0.096	40	418	39	78
P0DPK2	0.103	14	136	39	45
O69271	0.253	19	75	39	50
P02302	0.221	30	136	34	63
I6X486	0.131	13	99	36	48
Q9C168	0.029	21	736	39	51
O15269	0.137	65	473	18	82
Q9Y2Y1	0.556	60	108	1	60
O37178	0.198	48	242	39	53
Q8NBW4	0.08	45	561	39	54
Q9H0U6	0.144	26	180	39	64
Q62696	0.031	28	911	36	63
W5S2D2	0.153	25	163	39	63
P69541	0.685	50	73	24	73
O95178	0.562	59	105	39	97
F2Z619	0.275	63	229	39	101
Q9CPU2	0.638	67	105	39	105
Q6SW67	0.008	6	742	40	45
Q6N8V9	0.087	16	183	40	55
Q9BV47	0.118	25	211	40	44
P01135	0.294	47	160	40	45
C4YJ02	0.031	15	491	37	51
P45523	0.048	13	270	40	45
E9RIY7	0.114	5	44	40	44
A4IDL0	0.022	10	448	40	49
A0A0Y9W4B5	0.023	9	395	40	48
P26350	0.081	9	111	40	48
P03255	0.197	57	289	40	49
Q9Y6K1	0.012	11	912	40	50
P04004	0.042	20	478	38	57
Q9LQT8	0.058	31	533	26	56
Q9WNX3	0.124	14	113	40	53
Q4GWU5	0.25	14	56	40	53
Q8WY41	0.051	15	292	40	54
Q8ABY1	0.261	18	69	40	57
Q7DDI1	0.429	24	56	33	56
H2PUC2	0.269	18	67	40	57
A0ZW40	0.082	46	562	40	85
Q0EAC2	0.262	28	107	40	67
P10720	0.269	28	104	40	67
O94703	0.269	32	119	6	11
Q1Q0T3	0.074	26	353	40	65
Q9UBF8	0.042	34	816	40	65
Q61188	0.039	29	746	40	68
C4QZ39	0.146	94	644	40	69
Q01657	0.161	74	459	36	89
P62553	0.458	33	72	40	72
A0A141SFN4	0.398	39	98	40	78
M4GGR5	0.107	77	717	40	81
Q87UE5	0.132	50	380	40	89
Q9LF79	0.052	56	1074	40	95
Q9HVT9	0.667	64	96	33	96
Q02555	0.038	18	471	41	58
Q94C74	0.006	3	517	41	43
Q50LE5	0.051	28	552	41	68
P25605	0.12	37	309	41	66
Q13619	0.014	11	759	41	51
Q12349	0.452	56	124	36	47
Q9SE17	0.27	20	74	29	48
Q9C0J8	0.01	14	1336	41	48
P11820	0.095	88	925	2	15
P03702	0.138	19	138	41	59
A0A1X8XL64	0.122	17	139	41	51
O88508	0.01	9	908	41	49
B2ZX09	0.094	87	925	2	67
Q38828	0.038	10	261	41	50
P04618	0.086	10	116	41	50
Q9EV84	0.563	40	71	16	21
Q8NQE0	0.391	25	64	40	64
O60869	0.182	27	148	41	67
P08878	0.471	65	138	41	73
Q23FU1	0.088	59	670	18	76
P9WLM7	0.45	36	80	41	76
P68807	0.68	68	100	33	100
Q7VLF5	0.516	66	128	36	101
W5PVD7	0.602	65	108	41	105
P34897	0.018	9	504	42	50
Q4TVT6	0.02	13	644	42	49
P82180	0.138	27	196	42	51
P30659	0.326	28	86	42	46
B7IR02	0.146	7	48	42	48
L7N667	0.029	8	275	42	49
P47167	0.427	102	239	34	127
P10451	0.029	9	314	42	50
Q9NZ45	0.324	35	108	38	64
Q4G3H1	0.055	23	420	42	54
Q96DR7	0.013	11	871	42	52
P54136	0.017	11	660	42	52
Q92673	0.01	22	2214	42	52
Q93KQ4	0.121	14	116	42	55
Q9UM11	0.03	15	496	42	56
U6DXQ8	0.09	15	166	42	56
P46097	0.043	18	422	42	59
P29101	0.045	19	422	42	60
Q5SH67	0.364	24	66	41	64
Q9UJ41	0.193	95	491	24	71
P14775	0.74	71	96	23	93
P07603	0.715	88	123	36	123
O07227	0.548	40	73	34	73
G0S3J8	0.244	41	168	42	77
P72178	0.086	37	430	42	78
Q16595	0.462	97	210	42	103
W5Q0Q5	0.627	69	110	42	110
Q9R233	0.011	5	465	39	43
Q9ZSY8	0.033	10	305	43	52
Q04307	0.4	44	110	1	44
A0A286ZYM6	0.465	119	256	43	54
Q02775	0.351	134	382	37	45
P01270	0.209	24	115	42	65
D7P897	0.649	98	151	28	33
Q8CDG1	0.008	8	971	43	50
Q64SV7	0.075	12	161	43	54
P13619	0.465	119	256	43	56
P21742	0.132	18	136	43	60
W5QEA9	0.469	120	256	43	59
Q96B49	0.446	33	74	33	65
Q13127	0.021	23	1097	43	57
Q1WHN3	0.162	17	105	43	59
Q9H204	0.573	102	178	43	62
E1C005	0.149	22	148	43	64
Q980Z8	0.348	23	66	42	64
P9WF25	0.824	75	91	11	18
W0G0K3	0.198	59	298	43	76
P0A903	0.189	65	344	25	89
Q2KIB5	0.469	38	81	43	80
P56779	0.59	49	83	33	81
P0C6Z5	0.184	41	223	43	83
Q9WD75	0.56	61	109	43	103
P0A921	0.09	26	289	33	45
A0A140UHM9	0.375	18	48	31	48
Q3EZ39	0.104	5	48	44	48
Q6CVQ9	0.024	7	293	44	50
F5HF68	0.018	8	449	44	51
Q05027	0.439	69	157	44	51
Q07FI1	0.018	9	498	44	52
Q9E958	0.036	9	253	44	52
Q0EAC1	0.125	14	112	40	53
Q9Q0U8	0.127	63	498	44	52
O08675	0.035	13	369	44	56
P69657	0.217	13	60	44	56
Q14061	0.317	20	63	44	63
O95696	0.026	27	1058	38	64
Q8SRG7	0.029	26	894	44	69
A0A3U1ZEK5	0.368	28	76	42	69
O33347	0.505	47	93	44	90
